Date : 2022-05-29 19:06:46
Directory : c:\Users\yamamototd\Desktop\work\flutter\dailyreport
Total : 59 files,  3577 codes, 456 comments, 453 blanks, all 4486 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         24 |      2,591 |        285 |        252 |      3,128 |
| C++        |         11 |        405 |         80 |        132 |        617 |
| JSON       |          4 |        226 |          0 |          3 |        229 |
| XML        |          9 |        123 |         46 |         11 |        180 |
| Groovy     |          3 |         94 |          3 |         22 |        119 |
| HTML       |          1 |         80 |         18 |          7 |        105 |
| YAML       |          2 |         25 |         23 |         13 |         61 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         59 |      3,577 |        456 |        453 |      4,486 |
| android                                                                                                            |         13 |        210 |         48 |         33 |        291 |
| android\app                                                                                                        |          9 |        166 |         47 |         22 |        235 |
| android\app\src                                                                                                    |          7 |         62 |         44 |          9 |        115 |
| android\app\src\debug                                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                               |          5 |         54 |         38 |          7 |         99 |
| android\app\src\main\res                                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                            |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                     |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                             |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                |         23 |      2,577 |        275 |        245 |      3,097 |
| lib\add_book                                                                                                       |          2 |        216 |         33 |         24 |        273 |
| lib\add_setting                                                                                                    |          2 |        379 |         28 |         30 |        437 |
| lib\book_list                                                                                                      |          2 |        287 |         99 |         35 |        421 |
| lib\domain                                                                                                         |          3 |         32 |          0 |          4 |         36 |
| lib\edit_book                                                                                                      |          2 |        168 |          7 |         17 |        192 |
| lib\edit_setting                                                                                                   |          2 |        166 |          4 |         15 |        185 |
| lib\homepage                                                                                                       |          2 |        552 |         87 |         56 |        695 |
| lib\login                                                                                                          |          2 |        147 |          3 |         15 |        165 |
| lib\register                                                                                                       |          2 |        124 |          3 |         15 |        142 |
| lib\setting                                                                                                        |          3 |        485 |         11 |         31 |        527 |
| test                                                                                                               |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                |          2 |        115 |         18 |          8 |        141 |
| windows                                                                                                            |         10 |        404 |         80 |        131 |        615 |
| windows\flutter                                                                                                    |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                                                     |          8 |        396 |         71 |        120 |        587 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\build.gradle                                      | Groovy     |         58 |          3 |         13 |         74 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\google-services.json                              | JSON       |         46 |          0 |          0 |         46 |
