Date : 2022-05-29 19:06:46
Directory : c:\Users\yamamototd\Desktop\work\flutter\dailyreport
Total : 59 files,  3577 codes, 456 comments, 453 blanks, all 4486 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\AndroidManifest.xml                      | XML        |         28 |          6 |          1 |         35 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\app\src\profile\AndroidManifest.xml                   | XML        |          4 |          3 |          1 |          8 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\build.gradle                                          | Groovy     |         28 |          0 |          5 |         33 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\android\settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_model.dart                              | Dart       |         61 |          1 |         13 |         75 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_book\add_book_page.dart                               | Dart       |        155 |         32 |         11 |        198 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_model.dart                        | Dart       |         49 |          1 |         13 |         63 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\add_setting\add_setting_page.dart                         | Dart       |        330 |         27 |         17 |        374 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\book_list\book_list_model.dart                            | Dart       |        104 |          2 |         22 |        128 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\book_list\book_list_page.dart                             | Dart       |        183 |         97 |         13 |        293 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\book.dart                                          | Dart       |         14 |          0 |          1 |         15 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\homepage.dart                                      | Dart       |          7 |          0 |          2 |          9 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\domain\setting.dart                                       | Dart       |         11 |          0 |          1 |         12 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_model.dart                            | Dart       |         53 |          2 |         10 |         65 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_book\edit_book_page.dart                             | Dart       |        115 |          5 |          7 |        127 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_model.dart                      | Dart       |         36 |          2 |         10 |         48 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\edit_setting\edit_setting_page.dart                       | Dart       |        130 |          2 |          5 |        137 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_model.dart                           | Dart       |        170 |         46 |         31 |        247 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\homepage\report_home_page.dart                            | Dart       |        382 |         41 |         25 |        448 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_model.dart                                    | Dart       |         39 |          1 |         12 |         52 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\login\login_page.dart                                     | Dart       |        108 |          2 |          3 |        113 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\main.dart                                                 | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\register\register_model.dart                              | Dart       |         43 |          2 |         12 |         57 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\register\register_page.dart                               | Dart       |         81 |          1 |          3 |         85 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\icon_select_page.dart                             | Dart       |        234 |          1 |          5 |        240 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_list_page.dart                            | Dart       |        208 |         10 |         16 |        234 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\lib\setting\setting_model.dart                                | Dart       |         43 |          0 |         10 |         53 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\pubspec.yaml                                                  | YAML       |         22 |          0 |          9 |         31 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\web\index.html                                                | HTML       |         80 |         18 |          7 |        105 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\flutter\generated_plugin_registrant.cc                | C++        |          3 |          4 |          5 |         12 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\flutter_window.cpp                             | C++        |         45 |          4 |         13 |         62 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\utils.cpp                                      | C++        |         53 |          2 |         10 |         65 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\win32_window.cpp                               | C++        |        183 |         15 |         48 |        246 |
| c:\Users\yamamototd\Desktop\work\flutter\dailyreport\windows\runner\win32_window.h                                 | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                              |            |      3,577 |        456 |        453 |      4,486 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
